,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,FuelType2,hrGroup,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
89,Palo Verde,6008_G_2,6008,G,2,,Nuclear,,WECC_AZ,Arizona,4.0,Maricopa,13.0,4013.0,1314.0,10456.0,1986.0,2066.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6559195578450814,0.0,POINT (-112.8617 33.3881),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,105.12,670730.1022676745,1182.6000000000001,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6008+2,,,,,,,,,,,,
90,Palo Verde,6008_G_3,6008,G,3,,Nuclear,,WECC_AZ,Arizona,4.0,Maricopa,13.0,4013.0,1312.0,10456.0,1988.0,2068.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6008.0,33.3881,-112.8617,,,,,,,,,0.6559195578450814,0.0,POINT (-112.8617 33.3881),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Nuclear Fuel,,20,104.96000000000001,669709.204090707,1180.8,0.0,93280.0,2.14,8.99829489682817,0,0.0,1,1,0,False,False,False,6008+3,,,,,,,,,,,,
103,Headgate Rock,7179_G_1,7179,G,1,,Hydro,,WECC_AZ,Arizona,4.0,La Paz,12.0,4012.0,6.5,0.0,1993.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,7179.0,34.168264,-114.277356,,,,,,,,,0.0,0.0,POINT (-114.277356 34.168264),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,6.5,0.6635838150289017,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,7179+1,,,,,,,,,,,,
104,Headgate Rock,7179_G_2,7179,G,2,,Hydro,,WECC_AZ,Arizona,4.0,La Paz,12.0,4012.0,6.5,0.0,1993.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,7179.0,34.168264,-114.277356,,,,,,,,,0.0,0.0,POINT (-114.277356 34.168264),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,6.5,0.6635838150289017,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,7179+2,,,,,,,,,,,,
105,Headgate Rock,7179_G_3,7179,G,3,,Hydro,,WECC_AZ,Arizona,4.0,La Paz,12.0,4012.0,6.5,0.0,1993.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,7179.0,34.168264,-114.277356,,,,,,,,,0.0,0.0,POINT (-114.277356 34.168264),27.0,28.0,28.0,25.4962710756,19.9625115102,p28,rto3,AZ,Hydro,,0,6.5,0.6635838150289017,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,7179+3,,,,,,,,,,,,
107,Foothills Hydro Plant,10070_G_GEN1,10070,G,GEN1,,Hydro,,WECC_CO,Colorado,8.0,Douglas,35.0,8035.0,3.1,0.0,1985.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,10070.0,39.4588,-105.0657,,,,,,,,,0.0,0.0,POINT (-105.0657 39.4588),32.0,33.0,33.0,20.7799157782,13.0007552137,p33,rto5,CO,Hydro,,0,3.1,0.3164784348599378,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,10070+GEN1,,,,,,,,,,,,
108,Strontia Springs Hydro Plant,10081_G_GEN1,10081,G,GEN1,,Hydro,,WECC_CO,Colorado,8.0,Douglas,35.0,8035.0,1.0,0.0,1986.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,10081.0,39.4326,-105.1263,,,,,,,,,0.0,0.0,POINT (-105.1263 39.4326),32.0,33.0,33.0,20.7799157782,13.0007552137,p33,rto5,CO,Hydro,,0,1.0,0.10208981769675411,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,10081+GEN1,,,,,,,,,,,,
109,Dillon Hydro Plant,10421_G_GEN1,10421,G,GEN1,,Hydro,,WECC_CO,Colorado,8.0,Summit,117.0,8117.0,1.8,0.0,1987.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,10421.0,39.6208,-106.0662,,,,,,,,,0.0,0.0,POINT (-106.0662 39.6208),32.0,33.0,33.0,20.7799157782,13.0007552137,p33,rto5,CO,Hydro,,0,1.8,0.1837616718541574,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,10421+GEN1,,,,,,,,,,,,
110,Williams Fork Hydro Plant,10422_G_GEN1,10422,G,GEN1,,Hydro,,WECC_CO,Colorado,8.0,Grand,49.0,8049.0,3.0,0.0,1959.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,10422.0,40.035,-106.2053,,,,,,,,,0.0,0.0,POINT (-106.2053 40.035),32.0,33.0,33.0,20.7799157782,13.0007552137,p33,rto5,CO,Hydro,,0,3.0,0.3062694530902624,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,10422+GEN1,,,,,,,,,,,,
111,Williams Fork Hydro Plant,10422_G_GEN2,10422,G,GEN2,,Hydro,,WECC_CO,Colorado,8.0,Grand,49.0,8049.0,0.5,0.0,2012.0,9999.0,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,10422.0,40.035,-106.2053,,,,,,,,,0.0,0.0,POINT (-106.2053 40.035),32.0,33.0,33.0,20.7799157782,13.0007552137,p33,rto5,CO,Hydro,,0,0.5,0.051044908848377056,0.0,0.0,14130.0,0.0,0.0,0,0.0,1,1,0,False,False,False,10422+GEN2,,,,,,,,,,,,
