,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
227,Yucca,120_G_GT3,120,G,GT3,,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,52.0,11543,1973,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,0.8,0.32,0.064,0.32,0.064,,,,,,,,,,,,Natural Gas,120.0,32.7214,-114.7106,,,,,,,,,2.381000415400321,117.0,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
228,Yucca,120_G_GT4,120,G,GT4,,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,51.0,11543,1974,9999,,,N,Distillate Fuel Oil,,,,,SCR,,,,,,,,0.8,0.88,0.176,0.88,0.176,,,,,,,,,,,,Distillate Fuel Oil,120.0,32.7214,-114.7106,,,,,,,,,19.13758483593252,160.1,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
229,Yucca,120_G_GT5,120,G,GT5,89724.0,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,47.0,11543,2008,9999,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.01117,0.01117,0.01117,0.01117,,,,,,,,,,,,Natural Gas,120.0,32.7214,-114.7106,,,,,,,,,2.381000415400321,117.0,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
230,Yucca,120_G_GT6,120,G,GT6,89725.0,Combustion Turbine,,WECC_AZ,Arizona,4,Yuma,27,4027,47.0,11543,2008,9999,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.01051,0.01051,0.01051,0.01051,,,,,,,,,,,,Natural Gas,120.0,32.7214,-114.7106,,,,,,,,,2.381000415400321,117.0,POINT (-114.7106 32.7214),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
237,Agua Fria,141_B_1,141,B,1,86.0,O/G Steam,,WECC_AZ,Arizona,4,Maricopa,13,4013,113.0,12840,1958,9999,wall,dry,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,1.0,0.25658,0.25658,0.25658,0.25658,,,,,,,,,,,,Natural Gas,141.0,33.5561,-112.2153,,,,,,,,,2.381000415400321,117.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
238,Agua Fria,141_B_2,141,B,2,87.0,O/G Steam,,WECC_AZ,Arizona,4,Maricopa,13,4013,113.0,13090,1957,9999,wall,dry,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,1.0,0.2427,0.2427,0.2427,0.2427,,,,,,,,,,,,Natural Gas,141.0,33.5561,-112.2153,,,,,,,,,2.381000415400321,117.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
239,Agua Fria,141_B_3,141,B,3,88.0,O/G Steam,,WECC_AZ,Arizona,4,Maricopa,13,4013,181.0,12150,1961,9999,wall,dry,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,1.0,0.52051,0.52051,0.52051,0.52051,,,,,,,,,,,,Natural Gas,141.0,33.5561,-112.2153,,,,,,,,,2.381000415400321,117.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
240,Agua Fria,141_G_AF4,141,G,AF4,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,73.0,22602,1975,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,141.0,33.5561,-112.2153,,,,,,,,,2.381000415400321,117.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
241,Agua Fria,141_G_AF5,141,G,AF5,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,73.0,22604,1974,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,141.0,33.5561,-112.2153,,,,,,,,,2.381000415400321,117.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
242,Agua Fria,141_G_AF6,141,G,AF6,,Combustion Turbine,,WECC_AZ,Arizona,4,Maricopa,13,4013,73.0,22604,1974,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,0.8,0.34622,0.34622,0.34622,0.34622,,,,,,,,,,,,Natural Gas,141.0,33.5561,-112.2153,,,,,,,,,2.381000415400321,117.0,POINT (-112.2153 33.5561),27,28,28,25.4962710756,19.9625115102,p28,rto3,AZ
