,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
302,Black Eagle,2181_G_BLA3,2181,G,BLA3,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,7.0,0,1927,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2181.0,47.521331,-111.261442,,,,,,,,,0.0,0.0,POINT (-111.261442 47.521331),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
303,Cochrane,2182_G_COC1,2182,G,COC1,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,32.0,0,1958,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2182.0,47.5375,-111.194969,,,,,,,,,0.0,0.0,POINT (-111.194969 47.5375),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
304,Cochrane,2182_G_COC2,2182,G,COC2,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,32.0,0,1958,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2182.0,47.5375,-111.194969,,,,,,,,,0.0,0.0,POINT (-111.194969 47.5375),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
305,Hauser,2185_G_HAU1,2185,G,HAU1,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,3.0,0,1911,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2185.0,46.765941,-111.887341,,,,,,,,,0.0,0.0,POINT (-111.887341 46.765941),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
306,Hauser,2185_G_HAU2,2185,G,HAU2,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,3.5,0,1911,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2185.0,46.765941,-111.887341,,,,,,,,,0.0,0.0,POINT (-111.887341 46.765941),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
307,Hauser,2185_G_HAU3,2185,G,HAU3,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,3.5,0,1911,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2185.0,46.765941,-111.887341,,,,,,,,,0.0,0.0,POINT (-111.887341 46.765941),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
308,Hauser,2185_G_HAU5,2185,G,HAU5,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,3.5,0,1911,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2185.0,46.765941,-111.887341,,,,,,,,,0.0,0.0,POINT (-111.887341 46.765941),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
309,Hauser,2185_G_HAU6,2185,G,HAU6,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,4.0,0,1915,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2185.0,46.765941,-111.887341,,,,,,,,,0.0,0.0,POINT (-111.887341 46.765941),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
310,Holter,2186_G_HOL1,2186,G,HOL1,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,12.0,0,1918,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2186.0,46.9915,-112.0047,,,,,,,,,0.0,0.0,POINT (-112.0047 46.9915),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
311,Holter,2186_G_HOL2,2186,G,HOL2,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,12.0,0,1918,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2186.0,46.9915,-112.0047,,,,,,,,,0.0,0.0,POINT (-112.0047 46.9915),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
312,Holter,2186_G_HOL3,2186,G,HOL3,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,12.0,0,1918,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2186.0,46.9915,-112.0047,,,,,,,,,0.0,0.0,POINT (-112.0047 46.9915),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
313,Holter,2186_G_HOL4,2186,G,HOL4,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,12.0,0,1918,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2186.0,46.9915,-112.0047,,,,,,,,,0.0,0.0,POINT (-112.0047 46.9915),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
318,Morony,2191_G_MOR1,2191,G,MOR1,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,24.0,0,1930,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2191.0,47.581737,-111.060898,,,,,,,,,0.0,0.0,POINT (-111.060898 47.581737),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
319,Morony,2191_G_MOR2,2191,G,MOR2,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,24.0,0,1930,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2191.0,47.581737,-111.060898,,,,,,,,,0.0,0.0,POINT (-111.060898 47.581737),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
320,Mystic,2192_G_MYS1,2192,G,MYS1,,Hydro,,WECC_MT,Montana,30,Stillwater,95,30095,6.0,0,1925,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2192.0,45.225741,-109.762489,,,,,,,,,0.0,0.0,POINT (-109.762489 45.225741),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
321,Mystic,2192_G_MYS2,2192,G,MYS2,,Hydro,,WECC_MT,Montana,30,Stillwater,95,30095,6.0,0,1925,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2192.0,45.225741,-109.762489,,,,,,,,,0.0,0.0,POINT (-109.762489 45.225741),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
322,Rainbow (MT),2193_G_RAI9,2193,G,RAI9,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,60.5,0,2013,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2193.0,47.5344,-111.2045,,,,,,,,,0.0,0.0,POINT (-111.2045 47.5344),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
323,Ryan,2194_G_RYA1,2194,G,RYA1,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,10.0,0,1915,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2194.0,47.569939,-111.122546,,,,,,,,,0.0,0.0,POINT (-111.122546 47.569939),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
324,Ryan,2194_G_RYA2,2194,G,RYA2,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,10.0,0,1915,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2194.0,47.569939,-111.122546,,,,,,,,,0.0,0.0,POINT (-111.122546 47.569939),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
325,Ryan,2194_G_RYA3,2194,G,RYA3,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,10.0,0,1915,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2194.0,47.569939,-111.122546,,,,,,,,,0.0,0.0,POINT (-111.122546 47.569939),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
326,Ryan,2194_G_RYA4,2194,G,RYA4,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,10.0,0,1915,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2194.0,47.569939,-111.122546,,,,,,,,,0.0,0.0,POINT (-111.122546 47.569939),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
327,Ryan,2194_G_RYA5,2194,G,RYA5,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,10.0,0,1916,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2194.0,47.569939,-111.122546,,,,,,,,,0.0,0.0,POINT (-111.122546 47.569939),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
328,Ryan,2194_G_RYA6,2194,G,RYA6,,Hydro,,WECC_MT,Montana,30,Cascade,13,30013,10.0,0,1916,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2194.0,47.569939,-111.122546,,,,,,,,,0.0,0.0,POINT (-111.122546 47.569939),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
349,Yellowtail,2204_G_1,2204,G,1,,Hydro,,WECC_MT,Montana,30,Big Horn,3,30003,71.8,0,1966,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2204.0,45.307406,-107.957515,,,,,,,,,0.0,0.0,POINT (-107.957515 45.307406),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
350,Yellowtail,2204_G_2,2204,G,2,,Hydro,,WECC_MT,Montana,30,Big Horn,3,30003,71.8,0,1966,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2204.0,45.307406,-107.957515,,,,,,,,,0.0,0.0,POINT (-107.957515 45.307406),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
351,Yellowtail,2204_G_3,2204,G,3,,Hydro,,WECC_MT,Montana,30,Big Horn,3,30003,71.9,0,1966,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2204.0,45.307406,-107.957515,,,,,,,,,0.0,0.0,POINT (-107.957515 45.307406),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
352,Yellowtail,2204_G_4,2204,G,4,,Hydro,,WECC_MT,Montana,30,Big Horn,3,30003,71.8,0,1966,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,2204.0,45.307406,-107.957515,,,,,,,,,0.0,0.0,POINT (-107.957515 45.307406),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
1870,Hardin Generator Project,55749_B_PC1,55749,B,PC1,9114.0,Coal Steam,,WECC_MT,Montana,30,Big Horn,3,30003,107.0,12313,2006,9999,wall,dry,N,Subbituminous,Dry Scrubber,2006.0,0.923,LNB + OFA,SCR,2006.0,,B,,ACI,2009.0,,0.11,1.9276,0.08093,1.9276,0.08093,0.1,0.1,0.1,0.9730000000000001,,,,,,,,Subbituminous,55749.0,45.7578,-107.6,,,,,,,,,1.848930343389776,214.3,POINT (-107.6 45.7578),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2120,Tiber Dam Hydroelectric Plant,56499_G_HY1,56499,G,HY1,,Hydro,,WECC_MT,Montana,30,Liberty,51,30051,7.5,0,2004,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,56499.0,48.318,-111.1018,,,,,,,,,0.0,0.0,POINT (-111.1018 48.318),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2171,Horseshoe Bend Wind Park,56591_G_HBWP,56591,G,HBWP,,Onshore Wind,,WECC_MT,Montana,30,Cascade,13,30013,9.0,0,2006,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,56591.0,47.4983,-111.4392,,,,,,,,,0.0,0.0,POINT (-111.4392 47.4983),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2347,NaturEner Glacier Wind Energy 1,57049_G_NGW1,57049,G,NGW1,,Onshore Wind,,WECC_MT,Montana,30,Toole,101,30101,104.2,0,2008,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57049.0,48.51,-112.1097,,,,,,,,,0.0,0.0,POINT (-112.1097 48.51),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2348,NaturEner Glacier Wind Energy 2,57050_G_NGW2,57050,G,NGW2,,Onshore Wind,,WECC_MT,Montana,30,Toole,101,30101,101.4,0,2009,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57050.0,48.5333,-112.1847,,,,,,,,,0.0,0.0,POINT (-112.1847 48.5333),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2719,Turnbull Hydro,57690_G_1,57690,G,1,,Hydro,,WECC_MT,Montana,30,Teton,99,30099,5.3,0,2011,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,57690.0,47.605278,-112.096944,,,,,,,,,0.0,0.0,POINT (-112.096944 47.605278),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2720,Turnbull Hydro,57690_G_2,57690,G,2,,Hydro,,WECC_MT,Montana,30,Teton,99,30099,7.7,0,2011,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,57690.0,47.605278,-112.096944,,,,,,,,,0.0,0.0,POINT (-112.096944 47.605278),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2773,Gordon Butte Wind LLC,57748_G_GBW,57748,G,GBW,,Onshore Wind,,WECC_MT,Montana,30,Meagher,59,30059,9.6,0,2012,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57748.0,46.411944,-110.337777,,,,,,,,,0.0,0.0,POINT (-110.337777 46.411944),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
2920,NaturEner Rim Rock Energy,57995_G_RR,57995,G,RR,,Onshore Wind,,WECC_MT,Montana,30,Toole,101,30101,184.6,0,2012,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,57995.0,48.820278,-112.103333,,,,,,,,,0.0,0.0,POINT (-112.103333 48.820278),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
3367,Fairfield Wind,58966_G_T 1-6,58966,G,T 1-6,,Onshore Wind,,WECC_MT,Montana,30,Teton,99,30099,10.0,0,2014,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,58966.0,47.723333,-111.965278,,,,,,,,,0.0,0.0,POINT (-111.965278 47.723333),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
3805,Greenfield Wind - MT,60486_G_1,60486,G,1,,Onshore Wind,,WECC_MT,Montana,30,Teton,99,30099,25.0,0,2016,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60486.0,47.723,-111.963,,,,,,,,,0.0,0.0,POINT (-111.963 47.723),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
3924,Big Timber Wind Farm,61155_G_BT-MT,61155,G,BT-MT,,Onshore Wind,,WECC_MT,Montana,30,Sweet Grass,97,30097,25.0,0,2017,9999,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,61155.0,45.855428,-109.649167,,,,,,,,,0.0,0.0,POINT (-109.649167 45.855428),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
4059,Canyon Ferry,6400_G_1,6400,G,1,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,19.2,0,1953,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,6400.0,46.649026,-111.727874,,,,,,,,,0.0,0.0,POINT (-111.727874 46.649026),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
4060,Canyon Ferry,6400_G_2,6400,G,2,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,19.2,0,1954,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,6400.0,46.649026,-111.727874,,,,,,,,,0.0,0.0,POINT (-111.727874 46.649026),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
4061,Canyon Ferry,6400_G_3,6400,G,3,,Hydro,,WECC_MT,Montana,30,Lewis And Clark,49,30049,19.2,0,1954,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,6400.0,46.649026,-111.727874,,,,,,,,,0.0,0.0,POINT (-111.727874 46.649026),17,18,18,38.784948004,15.8595269462,p18,rto2,MT
39,Childrens Hospital,10175_G_0799,10175,G,0799,,Combustion Turbine,IC Engine,WEC_SDGE,California,6,San Diego,73,6073,2.0,14397,2000,9999,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,0.4671,0.4671,0.4671,0.4671,,,,,,,,,,,,Distillate Fuel Oil,10175.0,32.7992,-117.1517,,,,,,,,,19.13758483593252,160.1,POINT (-117.1517 32.7992),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
40,Childrens Hospital,10175_G_1711,10175,G,1711,,Combustion Turbine,,WEC_SDGE,California,6,San Diego,73,6073,3.5,12284,2004,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.01719,0.01719,0.01719,0.01719,,,,,,,,,,,,Natural Gas,10175.0,32.7992,-117.1517,,,,,,,,,2.381000415400321,117.0,POINT (-117.1517 32.7992),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
41,Childrens Hospital,10175_G_5083,10175,G,5083,,Combustion Turbine,IC Engine,WEC_SDGE,California,6,San Diego,73,6073,1.5,14397,2010,9999,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,0.4671,0.4671,0.4671,0.4671,,,,,,,,,,,,Distillate Fuel Oil,10175.0,32.7992,-117.1517,,,,,,,,,19.13758483593252,160.1,POINT (-117.1517 32.7992),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
42,Childrens Hospital,10175_G_5084,10175,G,5084,,Combustion Turbine,IC Engine,WEC_SDGE,California,6,San Diego,73,6073,1.5,14397,2010,9999,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,0.4671,0.4671,0.4671,0.4671,,,,,,,,,,,,Distillate Fuel Oil,10175.0,32.7992,-117.1517,,,,,,,,,19.13758483593252,160.1,POINT (-117.1517 32.7992),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
43,Childrens Hospital,10175_G_5085,10175,G,5085,,Combustion Turbine,IC Engine,WEC_SDGE,California,6,San Diego,73,6073,1.5,14397,2010,9999,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,0.4671,0.4671,0.4671,0.4671,,,,,,,,,,,,Distillate Fuel Oil,10175.0,32.7992,-117.1517,,,,,,,,,19.13758483593252,160.1,POINT (-117.1517 32.7992),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
81,Sycamore Energy 1,10387_G_1A,10387,G,1A,,Landfill Gas,,WEC_SDGE,California,6,San Diego,73,6073,1.2,23915,2011,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.07368,0.07368,0.07368,0.07368,,,,,,,,,,,,Landfill Gas,10387.0,32.857709,-117.028847,,,,,,,,,0.0,117.0,POINT (-117.028847 32.857709),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
82,Sycamore Energy 1,10387_G_2A,10387,G,2A,,Landfill Gas,,WEC_SDGE,California,6,San Diego,73,6073,1.2,23915,2011,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.07368,0.07368,0.07368,0.07368,,,,,,,,,,,,Landfill Gas,10387.0,32.857709,-117.028847,,,,,,,,,0.0,117.0,POINT (-117.028847 32.857709),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
83,Sycamore Energy 1,10387_G_3,10387,G,3,,Landfill Gas,,WEC_SDGE,California,6,San Diego,73,6073,2.8,23995,2004,9999,,,N,Landfill Gas,,,,,,,,,,,,,,0.07368,0.07368,0.07368,0.07368,,,,,,,,,,,,Landfill Gas,10387.0,32.857709,-117.028847,,,,,,,,,0.0,117.0,POINT (-117.028847 32.857709),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1156,Bear Valley,457_G_HC1,457,G,HC1,,Hydro,,WEC_SDGE,California,6,San Diego,73,6073,0.7,0,1986,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,457.0,33.166246,-117.016566,,,,,,,,,0.0,0.0,POINT (-117.016566 33.166246),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1157,Bear Valley,457_G_HC2,457,G,HC2,,Hydro,,WEC_SDGE,California,6,San Diego,73,6073,0.7,0,1986,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,457.0,33.166246,-117.016566,,,,,,,,,0.0,0.0,POINT (-117.016566 33.166246),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1188,Red Mountain,484_G_1,484,G,1,,Hydro,,WEC_SDGE,California,6,San Diego,73,6073,5.9,0,1985,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,484.0,33.3944,-117.1889,,,,,,,,,0.0,0.0,POINT (-117.1889 33.3944),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1226,R E Badger Filtration Plant,50147_G_1,50147,G,1,,Hydro,,WEC_SDGE,California,6,San Diego,73,6073,1.0,0,1987,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,50147.0,33.051,-117.175,,,,,,,,,0.0,0.0,POINT (-117.175 33.051),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1299,Gas Utilization Facility,50492_G_1,50492,G,1,,Non-Fossil Waste,,WEC_SDGE,California,6,San Diego,73,6073,2.3,4705,1985,9999,,,Y,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,50492.0,32.679172,-117.246698,,,,,,,,,0.0,160.1,POINT (-117.246698 32.679172),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1300,Gas Utilization Facility,50492_G_2,50492,G,2,,Non-Fossil Waste,,WEC_SDGE,California,6,San Diego,73,6073,2.3,4705,1985,9999,,,Y,Non-Fossil Waste,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Non-Fossil Waste,50492.0,32.679172,-117.246698,,,,,,,,,0.0,160.1,POINT (-117.246698 32.679172),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1301,Gas Utilization Facility,50492_G_3,50492,G,3,,Hydro,,WEC_SDGE,California,6,San Diego,73,6073,1.0,0,2002,9999,,,N,Hydro,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Hydro,50492.0,32.679172,-117.246698,,,,,,,,,0.0,0.0,POINT (-117.246698 32.679172),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1490,C P Kelco San Diego Plant,52147_G_GEN1,52147,G,GEN1,,Combustion Turbine,,WEC_SDGE,California,6,San Diego,73,6073,8.0,16297,1983,9999,,,Y,Natural Gas,,,,,,,,,,,,,0.74,0.0665,0.0665,0.0665,0.0665,,,,,,,,,,,,Natural Gas,52147.0,32.6947,-117.1436,,,,,,,,,2.381000415400321,117.0,POINT (-117.1436 32.6947),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1491,C P Kelco San Diego Plant,52147_G_GEN2,52147,G,GEN2,,Combustion Turbine,,WEC_SDGE,California,6,San Diego,73,6073,9.3,16297,1983,9999,,,Y,Natural Gas,,,,,,,,,,,,,0.74,0.0665,0.0665,0.0665,0.0665,,,,,,,,,,,,Natural Gas,52147.0,32.6947,-117.1436,,,,,,,,,2.381000415400321,117.0,POINT (-117.1436 32.6947),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1492,C P Kelco San Diego Plant,52147_G_GEN3,52147,G,GEN3,,Combustion Turbine,,WEC_SDGE,California,6,San Diego,73,6073,9.3,16297,1983,9999,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.0665,0.0665,0.0665,0.0665,,,,,,,,,,,,Natural Gas,52147.0,32.6947,-117.1436,,,,,,,,,2.381000415400321,117.0,POINT (-117.1436 32.6947),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1557,NRG Energy San Diego,54337_G_0001,54337,G,0001,,Combustion Turbine,IC Engine,WEC_SDGE,California,6,San Diego,73,6073,0.8,8700,1986,9999,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.10519,0.10519,0.10519,0.10519,,,,,,,,,,,,Natural Gas,54337.0,32.7149,-117.1689,,,,,,,,,2.381000415400321,117.0,POINT (-117.1689 32.7149),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1558,NRG Energy San Diego,54337_G_0002,54337,G,0002,,Combustion Turbine,IC Engine,WEC_SDGE,California,6,San Diego,73,6073,0.8,8700,1986,9999,,,Y,"Natural Gas, Distillate Fuel Oil",,,,,,,,,,,,,,0.10519,0.10519,0.10519,0.10519,,,,,,,,,,,,Natural Gas,54337.0,32.7149,-117.1689,,,,,,,,,2.381000415400321,117.0,POINT (-117.1689 32.7149),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
1629,Goal Line LP,54749_G_CTG,54749,G,CTG,3795.0,Combined Cycle,,WEC_SDGE,California,6,San Diego,73,6073,40.0,7806,1994,9999,,,Y,Natural Gas,,,,H2O,SCR,,,,,,,,,0.01414,0.01414,0.01414,0.01414,,,,,,,,,,,,Natural Gas,54749.0,33.1185,-117.0995,,,,,,,,,2.381000415400321,117.0,POINT (-117.0995 33.1185),10,11,11,6.12809377995,1.05918222311,p11,rto4,CA
